The Killers, Friday
Flume, Friday
Yeah Yeah Yeahs, Friday
BLXST, Friday
Bebe Rexha, Friday
Vintage Culture, Friday
Dayglow, Friday
Goth Babe, Friday
Inhaler, Friday
The Wombats, Friday
Raye, Friday
Franc Moody, Friday
Anna Lunoe, Friday
Beach Weather, Friday
Slayyyter, Friday
William Black, Friday
Roosevelt, Friday
Mindchatter, Friday
Telykast, Friday
Almost Monday, Friday
Ewan Mcvicar, Friday
Lewis Thompson, Friday
Snacktime, Friday
Dance System, Friday
Kendrick Lamar, Saturday
The 1975, Saturday
Omar Apollo, Saturday
Cigarettes After Sex, Saturday
Madeon, Saturday
Ferg, Saturday
Purple Disco Machine, Saturday
Yung Gravy, Saturday
Renee Rapp, Saturday
Ben Bohmer, Saturday
Amber Mark, Saturday
The Rose, Saturday
Blond:ish, Saturday
Tsha, Saturday
Chika, Saturday
Jawny, Saturday
Barry Can't Swim, Saturday
JockStrap, Saturday
Vandelux, Saturday
Charlotte Sands, Saturday
Honeyluv, Saturday
Joy (Anonymous), Saturday
Coco & Breezy, Saturday
Matt Hansen, Saturday
Ayybo, Saturday
Night Tales, Saturday
Prentiss, Saturday
Odesza, Sunday
Khalid, Sunday
Nelly, Sunday
Kim Petras, Sunday
John Summit, Sunday
Rina Sawayama, Sunday
Claptone, Sunday
Cannons, Sunday
Baby Tate, Sunday
Snakehips, Sunday
Jessie Murph, Sunday
Babytron, Sunday
J. Worra, Sunday
Wilderado, Sunday
Biig Piig, Sunday
Miya Folick, Sunday
Talk, Sunday
Two Another, Sunday
Salute, Sunday
Winston Surfshirt, Sunday
Highway, Sunday
Rockie Brown, Sunday
Lema, Sunday
